年份／名稱,論文題目,類別,子分類,
,應用於3D CAD 幾何模型雕塑之直覺式介面,理論,使用者經驗與介面設計研究,
,跨領域學院的構想-以筑波大學藝術專門學群、早稻田大學表現工學學科為例,理論,其他研究,
2018,宜蘭傳奇故事應用於文化創意設計研究,創作,其他創作,
,由小丑醫生探討兒童友善醫療服務之圖文創作研究,創作,其他創作,
,臺灣海洋保育魚類圖樣設計,創作,其他創作,
,由世界糧食短缺議題探討雙關圖形的漢字創作研究,創作,其他創作,
,迷幻藝術風格之海報設計研究,創作,動態影像／動畫,
,〈群島家族映象〉從家族歷史影像尋找自我認同過程之創作研究,創作,動態影像／動畫,
,〈土。質〉以新即物主義風格表現土地生態之攝影創作研究,創作,攝影創作,
,〈面目全非，崩壞的臉書〉以塗鴉風格表現Facebook成癮之影像創作,創作,動態影像／動畫,
,普普風格應用於嫁接水果切片圖形之創作研究,創作,其他創作,
,〈壹百道神諭〉攝影結合插畫表現福德正神籤詩之圖像創作,創作,繪本與插畫創作,
,〈黴生繪影〉以黴菌作畫的影像創作研究,創作,動態影像／動畫,
,探討兒童恐懼情緒之繪本創作研究,創作,繪本與插畫創作,
,時輪金剛曼陀羅中的空間構成之研究,理論,造形研究,
,日本鐵路便當的包裝材質研究,理論,其他研究,
,1998-2018中文社會科學引文(CSSCI)收錄藝術類期刊之包裝設計研究趨向分析,理論,文化符號與視覺研究,
,臺灣大型娛樂頒獎典禮之品牌視覺識別探討,理論,文化符號與視覺研究,
,臺灣防災手冊視覺傳達設計研究出初探,理論,文化符號與視覺研究,
,中式新茶飲的標誌設計分析,理論,其他研究,
,〈JoJo的奇幻冒險>中塔羅牌於角色設計的運用,理論,其他研究,
,雲端發票APP之圖形使用者介面研究,理論,使用者經驗與介面設計研究,
,悲觀創作者自我療癒歷程,理論,其他研究,
,「由相機先食」視點探討視覺對味覺知影響,理論,文化符號與視覺研究,
,Zine的書冊設計研究,理論,其他研究,
,光影應用於立方體結構之多義圖形研究,理論,其他研究,
,博物館場所奏應用數位典藏之影響力研究初探以國立臺灣博物館常設展之原住民為例,理論,其他研究,
2017,古典如意雲紋之創作研究,創作,其他創作,
,臺灣原生植物轉化為吉祥物之插畫創作,創作,繪本與插畫創作,
,《層城疊影》—以拼貼手法表現於都市更新影像創作研究,創作,動態影像／動畫,
,心藝視：以超現實攝影表現「心靈幻境」之創作研究,創作,攝影創作,
,《逝者家之樣貌》一紀實攝影中「直接攝影」創作研究,創作,攝影創作,
,【字意山城】地方意象於漢字符號海報之創作研究,創作,動態影像／動畫,
,輔助體操學習之體感互動圖形符號設計,創作,AR／互動／數位,
,由「青銀共融」探討互動式公益廣告之創作研究:前期分析,創作,AR／互動／數位,
,《We Are Together》—以超現實風格表現同志議題圖文書創作研究,創作,其他創作,
,利社會行為人物應用於自我覺察之圖文創作研究,創作,其他創作,
,資訊圖表應用於國中歷史教科書之創作研究,創作,資訊圖像,
,自然動流動態圖像設計創作研究,創作,動態影像／動畫,
,臺灣房產業雜誌廣告視覺意象特性分析之研究,理論,文化符號與視覺研究,
,由華語流行音樂探討新媒體與視覺設計研究,理論,文化符號與視覺研究,
,馬約利卡瓷磚在金門地區表現形式初探,理論,其他研究,
,香港海報設計五十年文字設計研究,理論,其他研究,
,《design設計》雜誌封面視覺表現形式之研究,理論,文化符號與視覺研究,
,新聞攝影之影像視覺傳達研究,理論,文化符號與視覺研究,
,色名與顯色屬性之間認知判斷研究,理論,其他研究,
,探討音樂專輯包裝設計對使用者經驗之影響-以蕭青陽入圍葛萊美作品為例,理論,使用者經驗與介面設計研究,
,符號學理論應用於展示設計之案例分析,理論,文化符號與視覺研究,
,高齡者對南港車站指標識別系統之符號的辨識度研究,理論,文化符號與視覺研究,
,以廟宇KIOSK介面設計探究文化興趣操作模式設計,理論,使用者經驗與介面設計研究,
,iOS系統中鬧鐘應用程式之圖形使用者介面研究,理論,使用者經驗與介面設計研究,
,輔助外籍生就醫之APP介面設計,理論,使用者經驗與介面設計研究,
,設計產業區塊鏈可行性之研究,理論,其他研究,
,北歐形式風格之探究,理論,文化符號與視覺研究,
,適用包裝設計之仿生結構探討,理論,其他研究,
,運用視覺引導融入注音符號對兒童學習興趣的引發,理論,教育場域研究,
,藝術展呈之被看見一以北美館為例,理論,其他研究,
2016,浮世繪風格應用於中藥神話故事之插畫創作,創作,繪本與插畫創作,
,整合懷舊理論於樂齡創意設計之研究,創作,其他創作,
,合體字字型海報研究創作,創作,動態影像／動畫,
,有機農產品標章之設計造型認知研究,理論,其他研究,
,瓊瑤小說封面設計之插畫風格研究,理論,文化符號與視覺研究,
,臺北市萬華區觀光夜市招牌之表現形式研究,理論,其他研究,
,極簡主義風格應用於網站首頁之視覺要素研究,理論,使用者經驗與介面設計研究,
,跑者對路跑賽事完賽禮之設計需求研究,理論,其他研究,
,背景色彩對英文單字記憶的影響,理論,色彩研究,
,互動式視覺設計構成條件之研究,理論,使用者經驗與介面設計研究,
,旋轉性似動運動於不同類型柱體之動態錯視效果研究,理論,其他研究,
,互動式視覺設計構成條件之研究,理論,使用者經驗與介面設計研究,
,音樂影像化應用於表演,理論,其他研究,
,運用「文創概念」在學校經營策略之探討,理論,教育場域研究,
,以文化涵化觀點論臺灣福佬過年習俗文化,理論,文化符號與視覺研究,
,類型性個展之文化商品探究以臺北地區個展為例,理論,文化符號與視覺研究,
